
1,Microsoft Corporation,MSFT,5.66254,   189.34,-7.51,(-3.81%)
2,Apple Inc.,AAPL,5.557106,   342.37,-10.47,(-2.97%)
3,Amazon.com Inc.,AMZN,4.157755,"   2,595.05",-52.40,(-1.98%)
4,Facebook Inc. Class A,FB,2.148201,   226.31,-10.42,(-4.40%)
5,Alphabet Inc. Class A,GOOGL,1.654992,"   1,421.30",-43.40,(-2.96%)
6,Alphabet Inc. Class C,GOOG,1.652112,"   1,422.58",-43.27,(-2.95%)
7,Johnson & Johnson,JNJ,1.466829,   141.22,-6.58,(-4.45%)
8,Berkshire Hathaway Inc. Class B,BRK.B,1.412569,   180.51,-11.00,(-5.74%)
9,Visa Inc. Class A,V,1.29412,   190.34,-10.14,(-5.06%)
10,JPMorgan Chase & Co.,JPM,1.254406,   98.66,-7.40,(-6.98%)
11,Procter & Gamble Company,PG,1.12122,   117.44,-1.79,(-1.50%)
12,UnitedHealth Group Incorporated,UNH,1.09232,   286.46,-19.29,(-6.31%)
13,Mastercard Incorporated Class A,MA,1.048268,   295.07,-18.08,(-5.77%)
14,Intel Corporation,INTC,1.047677,   60.91,-2.96,(-4.63%)
15,Home Depot Inc.,HD,1.046655,   243.01,-11.45,(-4.50%)
16,Verizon Communications Inc.,VZ,0.905321,   56.60,-1.46,(-2.51%)
17,AT&T Inc.,T,0.885335,   30.53,-1.62,(-5.02%)
18,NVIDIA Corporation,NVDA,0.864662,   360.60,-14.07,(-3.76%)
19,Walt Disney Company,DIS,0.83041,   114.10,-8.08,(-6.61%)
20,Bank of America Corp,BAC,0.812031,   24.37,-2.23,(-8.38%)
21,Exxon Mobil Corporation,XOM,0.808119,   47.46,-3.19,(-6.30%)
22,Merck & Co. Inc.,MRK,0.785043,   78.25,-3.52,(-4.30%)
23,Cisco Systems Inc.,CSCO,0.758577,   44.72,-2.71,(-5.70%)
24,Pfizer Inc.,PFE,0.749595,   33.99,-1.93,(-5.37%)
25,Adobe Inc.,ADBE,0.742604,   391.44,-15.38,(-3.78%)
26,Netflix Inc.,NFLX,0.718037,   435.28,0.80,(0.18%)
27,Comcast Corporation Class A,CMCSA,0.708044,   39.70,-1.66,(-4.01%)
28,PayPal Holdings Inc,PYPL,0.708038,   155.36,-4.55,(-2.85%)
29,Coca-Cola Company,KO,0.706965,   46.01,-2.62,(-5.38%)
30,PepsiCo Inc.,PEP,0.705288,   129.35,-4.78,(-3.56%)
31,Chevron Corporation,CVX,0.695769,   91.25,-6.34,(-6.49%)
32,Walmart Inc.,WMT,0.648127,   120.71,-0.45,(-0.37%)
33,AbbVie Inc.,ABBV,0.644237,   92.86,-4.04,(-4.17%)
34,Abbott Laboratories,ABT,0.614214,   87.40,-4.76,(-5.16%)
35,salesforce.com inc.,CRM,0.609083,   174.42,-7.68,(-4.22%)
36,McDonald's Corporation,MCD,0.556039,   187.58,-8.22,(-4.20%)
37,Thermo Fisher Scientific Inc.,TMO,0.53344,   338.43,-14.37,(-4.07%)
38,Bristol-Myers Squibb Company,BMY,0.532077,   57.61,-2.55,(-4.24%)
39,Costco Wholesale Corporation,COST,0.512261,   304.00,-3.33,(-1.08%)
40,Amgen Inc.,AMGN,0.509157,   221.65,-5.48,(-2.41%)
41,Accenture Plc Class A,ACN,0.501536,   198.70,-10.73,(-5.12%)
42,Medtronic Plc,MDT,0.493058,   91.60,-5.96,(-6.10%)
43,Eli Lilly and Company,LLY,0.481099,   146.19,-4.81,(-3.19%)
44,NIKE Inc. Class B,NKE,0.479824,   96.25,-5.87,(-5.75%)
45,NextEra Energy Inc.,NEE,0.473293,   248.01,-8.78,(-3.42%)
46,Broadcom Inc.,AVGO,0.47124,   301.29,-13.75,(-4.36%)
47,Texas Instruments Incorporated,TXN,0.463168,   126.74,-4.66,(-3.55%)
48,Citigroup Inc.,C,0.459869,   50.21,-5.65,(-10.11%)
49,Union Pacific Corporation,UNP,0.459226,   166.78,-8.65,(-4.93%)
50,American Tower Corporation,AMT,0.443191,   253.19,-12.15,(-4.58%)
51,Oracle Corporation,ORCL,0.442047,   51.83,-2.28,(-4.21%)
52,Philip Morris International Inc.,PM,0.440847,   72.17,-2.98,(-3.96%)
53,International Business Machines Corporation,IBM,0.433717,   119.16,-10.71,(-8.25%)
54,Linde plc,LIN,0.432187,   202.10,-11.26,(-5.28%)
55,Wells Fargo & Company,WFC,0.431183,   27.32,-2.39,(-8.04%)
56,Honeywell International Inc.,HON,0.415258,   145.75,-8.37,(-5.43%)
57,Boeing Company,BA,0.410386,   181.68,-21.73,(-10.68%)
